,Date,VIX,10Y_Treasury_Yield,30Y_Treasury_Yield,Gold_Price,Oil_Price,EUR_USD,GDP,Unemployment_Rate,CPI,PPI,Retail_Sales,Industrial_Production,Non_Farm_Payrolls,Housing_Starts
253,2019-11-17,12.050000190734863,1.8339999914169312,2.311000108718872,1467.300048828125,57.720001220703125,1.1020498275756836,21902.39,3.6,257.155,198.6,519795.0,101.6022,151458.0,1325.0
254,2019-11-24,12.34000015258789,1.77400004863739,2.2230000495910645,1463.0999755859375,57.77000045776367,1.1065863370895386,21902.39,3.6,257.155,198.6,519795.0,101.6022,151458.0,1325.0
255,2019-12-01,12.619999885559082,1.7760000228881836,2.20199990272522,1465.5999755859375,55.16999816894531,1.101176142692566,21902.39,3.6,257.155,198.6,519795.0,101.6022,151458.0,1325.0
256,2019-12-08,13.619999885559082,1.8420000076293943,2.2839999198913574,1459.0999755859375,59.20000076293945,1.1105434894561768,21902.39,3.6,257.155,198.6,519795.0,101.6022,151458.0,1325.0
257,2019-12-15,12.630000114440918,1.819000005722046,2.25,1475.5999755859375,60.06999969482422,1.1186057329177856,21902.39,3.6,257.155,198.6,519795.0,101.6022,151458.0,1325.0
258,2019-12-22,12.510000228881836,1.9170000553131104,2.345999956130981,1474.699951171875,60.43999862670898,1.1125946044921875,21902.39,3.6,257.155,198.6,519795.0,101.6022,151458.0,1325.0
259,2019-12-29,13.43000030517578,1.8739999532699585,2.311000108718872,1513.800048828125,61.720001220703125,1.110111951828003,21902.39,3.6,257.155,198.6,519795.0,101.6022,151458.0,1325.0
260,2020-01-05,14.020000457763672,1.787999987602234,2.249000072479248,1549.199951171875,63.04999923706055,1.1171437501907349,21706.513,3.6,258.906,199.3,525411.0,101.3768,152045.0,1578.0
261,2020-01-12,12.5600004196167,1.825000047683716,2.2839999198913574,1557.5,59.040000915527344,1.1111111640930176,21706.513,3.6,258.906,199.3,525411.0,101.3768,152045.0,1578.0
262,2020-01-19,12.100000381469728,1.8359999656677248,2.2960000038146973,1558.800048828125,58.540000915527344,1.1139578819274902,21706.513,3.6,258.906,199.3,525411.0,101.3768,152045.0,1578.0
263,2020-01-26,14.5600004196167,1.680999994277954,2.128000020980835,1571.0999755859375,54.18999862670898,1.1055220365524292,21706.513,3.6,258.906,199.3,525411.0,101.3768,152045.0,1578.0
264,2020-02-02,18.84000015258789,1.5199999809265137,2.015000104904175,1582.9000244140625,51.560001373291016,1.1029127836227417,21706.513,3.6,258.906,199.3,525411.0,101.3768,152045.0,1578.0
265,2020-02-09,15.470000267028809,1.5779999494552612,2.0420000553131104,1568.5999755859375,50.31999969482422,1.0982975959777832,21706.513,3.6,258.906,199.3,525411.0,101.3768,152045.0,1578.0
266,2020-02-16,13.68000030517578,1.5880000591278076,2.0429999828338623,1582.699951171875,52.04999923706055,1.0845986604690552,21706.513,3.6,258.906,199.3,525411.0,101.3768,152045.0,1578.0
267,2020-02-23,17.079999923706055,1.4709999561309814,1.9179999828338623,1644.5999755859375,53.380001068115234,1.078799843788147,21706.513,3.6,258.906,199.3,525411.0,101.3768,152045.0,1578.0
268,2020-03-01,40.11000061035156,1.1269999742507937,1.6710000038146973,1564.0999755859375,44.7599983215332,1.0997228622436523,21706.513,3.6,258.906,199.3,525411.0,101.3768,152045.0,1578.0
269,2020-03-08,41.93999862670898,0.7059999704360962,1.215000033378601,1670.800048828125,41.27999877929688,1.1223849058151243,21706.513,3.6,258.906,199.3,525411.0,101.3768,152045.0,1578.0
270,2020-03-15,57.83000183105469,0.9509999752044678,1.5520000457763672,1515.699951171875,31.729999542236328,1.1184931993484497,21706.513,3.6,258.906,199.3,525411.0,101.3768,152045.0,1578.0
271,2020-03-22,66.04000091552734,0.9380000233650208,1.555999994277954,1484.0,22.43000030517578,1.0657345056533811,21706.513,3.6,258.906,199.3,525411.0,101.3768,152045.0,1578.0
272,2020-03-29,65.54000091552734,0.7490000128746033,1.337000012397766,1623.9000244140625,21.51000022888184,1.1048258543014526,21706.513,3.6,258.906,199.3,525411.0,101.3768,152045.0,1578.0
273,2020-04-05,46.79999923706055,0.5870000123977661,1.2139999866485596,1633.699951171875,28.34000015258789,1.0847399234771729,19913.143,14.8,256.126,185.5,408312.0,84.5979,130421.0,931.0
274,2020-04-12,41.66999816894531,0.7289999723434448,1.3530000448226929,1736.199951171875,22.76000022888184,1.0863661766052246,19913.143,14.8,256.126,185.5,408312.0,84.5979,130421.0,931.0
275,2020-04-19,38.150001525878906,0.6539999842643738,1.2760000228881836,1689.199951171875,18.270000457763672,1.0858471393585205,19913.143,14.8,256.126,185.5,408312.0,84.5979,130421.0,931.0
